datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2017-10-01 00:00:00,286.52,290.45,297.82,288.05,298.51,296.59,305.55,308.71,293.4,290.85,302.28,301.52,303.15,297.23,290.88,294.92,289.79,294.95,290.65,297.6,287.97,297.44,292.34,300.92,285.53,284.94,286.15,286.15,284.15,284.38,286.343,295.15,293.943,298.818,298.818,295.15
2017-10-01 01:00:00,285.73,289.88,297.24,287.75,297.44,294.82,304.48,307.85,290.44,289.27,298.15,296.96,299.7,295.97,290.22,291.58,288.34,290.62,288.0,295.85,285.65,297.29,290.48,300.27,283.85,283.33,285.57,285.88,283.12,284.14,286.343,295.15,296.15,298.818,298.818,295.15
2017-10-01 02:00:00,285.36,288.67,295.82,286.81,295.63,293.7,302.63,307.26,287.91,287.72,297.4,295.8,298.92,293.28,289.86,288.99,286.83,289.38,286.2,293.32,284.34,297.28,288.9,299.89,282.49,281.69,284.88,285.69,281.8,283.84,285.009,294.15,292.059,298.859,298.859,294.15
2017-10-01 03:00:00,284.75,287.29,293.19,285.74,293.71,292.23,300.95,304.93,287.69,286.94,296.79,294.27,298.03,292.14,289.22,288.28,286.03,289.12,285.54,292.31,283.33,297.94,287.73,300.26,281.35,281.61,283.58,285.51,281.1,282.66,285.009,294.62,297.15,294.15,294.15,294.65
2017-10-01 04:00:00,284.55,286.52,291.59,285.35,293.21,291.37,298.63,302.78,288.19,286.04,296.04,294.29,296.73,291.33,289.15,286.26,284.31,288.12,284.23,291.35,282.93,297.16,287.39,299.92,280.34,281.35,283.4,284.78,279.77,281.5,285.009,294.71,296.0,292.65,292.82,294.76
2017-10-01 05:00:00,283.72,286.4,291.56,285.14,292.15,291.73,297.96,300.16,287.62,285.92,295.39,293.75,296.64,290.76,288.93,285.57,284.23,287.87,283.17,291.9,282.25,296.55,287.05,300.15,279.68,280.84,282.49,284.7,280.12,281.15,293.564,295.15,295.17,293.37,293.55,295.15
2017-10-01 06:00:00,284.36,286.3,289.97,284.85,292.15,290.99,296.65,298.32,286.69,285.12,294.02,292.94,296.37,290.65,288.55,284.98,284.33,286.39,283.44,291.27,281.59,297.32,286.97,300.27,279.17,280.1,282.42,284.42,279.45,280.54,293.564,297.15,297.15,294.37,294.55,297.15
2017-10-01 07:00:00,284.39,285.66,289.97,284.7,292.31,290.99,296.11,297.15,286.72,285.25,293.16,292.14,295.36,290.15,288.44,284.69,283.89,285.89,283.99,291.27,281.25,297.15,285.81,300.29,278.5,280.12,281.97,283.69,279.8,279.62,293.564,299.59,298.64,297.96,298.08,299.54
2017-10-01 08:00:00,284.39,285.28,289.52,284.48,292.15,290.78,295.95,295.85,286.68,285.38,292.9,291.95,294.35,289.94,288.29,283.94,283.24,285.38,282.76,290.93,280.14,296.56,285.14,300.28,277.85,279.61,281.87,283.14,278.47,279.55,300.531,301.04,300.15,297.96,298.08,300.93
2017-10-01 09:00:00,283.89,285.16,289.16,284.25,291.91,290.9,293.76,295.17,286.41,285.37,291.9,291.71,294.04,289.55,287.65,283.46,282.53,284.88,281.47,290.4,279.22,296.66,284.33,300.43,277.5,278.85,281.43,282.72,277.47,279.16,300.531,301.59,302.02,298.96,299.08,301.54
2017-10-01 10:00:00,283.4,284.45,288.15,284.13,291.61,291.25,294.74,293.67,285.43,285.02,291.9,291.78,294.03,290.1,286.36,283.28,282.31,284.63,281.17,289.65,279.03,296.57,283.73,299.91,276.99,278.61,281.15,282.56,277.47,278.78,300.531,302.04,303.06,300.15,300.15,301.93
2017-10-01 11:00:00,283.92,284.65,287.6,283.85,291.4,291.47,294.14,293.84,285.43,284.8,290.65,291.62,293.58,289.54,286.01,283.62,281.73,283.62,280.19,289.03,278.91,296.16,282.6,299.77,276.32,277.86,280.57,282.16,277.8,278.56,302.718,302.04,305.37,301.15,301.15,301.93
2017-10-01 12:00:00,283.68,284.29,286.65,283.74,291.22,291.41,292.3,293.01,285.21,284.58,291.27,290.9,293.46,290.14,286.08,283.96,281.54,284.34,279.91,288.05,278.22,295.86,283.23,300.03,276.32,277.73,281.98,283.69,278.13,279.23,302.718,302.04,306.38,301.74,301.68,301.93
2017-10-01 13:00:00,283.68,283.68,286.25,283.92,291.3,291.32,291.47,292.49,284.91,284.82,291.03,290.71,293.64,290.32,286.37,284.12,282.63,285.55,280.55,287.64,279.23,296.65,285.32,300.26,279.25,278.73,284.3,285.97,280.18,281.06,302.718,301.59,307.38,301.93,301.75,301.54
2017-10-01 14:00:00,284.15,283.54,285.42,283.92,291.38,291.24,290.73,292.48,284.88,283.79,294.9,292.96,296.05,290.32,286.51,285.69,284.34,289.35,283.92,288.69,282.13,296.15,287.15,301.77,283.12,282.96,286.64,287.51,281.75,284.8,301.29,301.59,308.66,301.93,301.75,301.54
2017-10-01 15:00:00,283.84,283.15,285.73,283.55,291.35,291.22,292.63,292.65,288.92,286.23,294.93,293.45,296.34,291.26,287.34,287.56,286.64,292.56,287.34,289.84,286.63,296.16,289.06,302.47,285.98,286.35,288.81,289.25,284.43,286.56,301.29,301.15,308.66,301.34,301.22,301.15
2017-10-01 16:00:00,284.17,285.3,286.31,283.54,291.82,291.49,295.63,295.92,291.19,289.02,297.6,295.94,298.94,292.75,288.08,290.24,289.22,294.51,289.14,291.41,288.94,296.15,290.87,303.77,287.63,287.36,290.06,289.81,286.8,288.15,301.29,300.15,307.0,300.74,300.68,300.15
2017-10-01 17:00:00,284.74,285.29,289.56,283.82,292.5,292.69,296.55,299.26,292.14,291.25,299.82,298.09,301.58,294.45,288.55,292.96,291.23,295.39,290.96,292.78,290.48,296.33,291.56,303.81,288.17,288.56,290.06,290.15,288.15,289.39,293.54,299.15,305.66,299.15,299.15,299.15
2017-10-01 18:00:00,285.32,286.65,292.32,285.26,293.33,293.46,300.55,301.14,294.18,292.81,301.27,300.15,303.34,295.11,287.59,295.28,291.77,297.74,292.59,294.14,290.75,296.47,293.6,302.55,291.0,289.57,291.73,291.64,289.48,289.65,293.54,298.15,303.75,299.15,299.15,298.15
2017-10-01 19:00:00,285.92,288.03,294.61,286.05,294.56,294.85,300.89,303.35,295.68,293.61,302.64,302.21,304.95,295.48,287.51,296.42,292.94,298.94,293.56,295.05,291.37,296.43,294.33,304.12,292.0,289.36,292.73,292.4,289.8,290.69,293.54,298.15,302.38,299.15,299.15,298.15
2017-10-01 20:00:00,286.73,288.42,296.56,286.86,295.62,295.69,301.91,304.95,296.7,294.06,303.91,303.02,305.48,296.64,287.75,297.7,294.04,299.53,294.34,295.51,291.93,296.29,294.4,303.8,292.72,289.96,292.56,292.69,290.48,291.08,289.618,298.15,301.66,299.15,299.15,298.15
2017-10-01 21:00:00,286.92,290.13,297.89,287.45,296.92,295.92,303.94,306.26,297.17,293.62,304.28,303.82,305.25,297.28,289.29,298.44,294.35,299.74,294.97,295.75,292.04,296.28,294.48,303.91,293.14,290.35,292.66,292.48,290.48,291.31,289.618,297.59,301.15,299.818,299.818,297.54
2017-10-01 22:00:00,287.75,291.15,298.58,288.15,297.34,295.49,304.75,307.02,297.69,292.84,304.28,303.82,305.25,297.99,290.08,298.84,294.45,299.35,295.36,295.6,291.59,296.14,293.73,303.64,292.47,289.95,292.32,291.81,290.15,290.91,289.618,298.15,300.15,299.818,299.818,298.15
2017-10-01 23:00:00,288.57,291.15,298.25,288.64,297.53,295.56,304.95,307.59,298.67,289.05,303.78,303.77,304.85,297.33,290.01,297.82,293.85,298.94,295.6,294.65,290.49,296.56,291.91,302.89,292.15,289.15,290.68,291.72,288.8,289.17,287.863,296.15,291.988,299.663,299.663,296.15
2017-10-02 00:00:00,288.35,291.02,297.92,288.25,297.34,295.65,304.75,308.45,297.66,286.57,302.5,301.69,302.37,296.03,289.79,297.59,292.34,294.62,293.23,292.79,288.36,296.72,288.56,301.89,288.34,286.91,286.92,288.05,287.48,285.18,287.863,295.15,291.988,299.663,299.663,295.15
2017-10-02 01:00:00,287.96,290.03,296.59,288.45,296.22,294.86,303.8,307.82,295.42,285.23,299.4,298.77,300.37,295.14,289.29,295.72,290.77,293.36,290.42,291.45,286.85,297.59,286.98,301.52,285.53,285.1,285.08,286.97,286.45,283.33,287.863,294.15,298.15,299.663,299.663,294.15
2017-10-02 02:00:00,287.75,288.17,293.94,287.75,294.75,293.44,302.14,306.9,292.38,283.82,298.4,297.28,299.59,293.8,289.15,294.42,290.24,291.6,290.03,290.51,285.85,297.49,285.98,301.27,283.84,283.89,283.63,286.22,286.1,282.24,286.773,295.15,291.173,299.623,299.623,295.15
2017-10-02 03:00:00,285.36,286.59,291.1,286.64,293.42,292.37,300.29,304.52,290.37,283.02,297.4,296.75,298.14,292.95,289.08,294.81,289.33,291.12,288.57,290.05,285.71,299.15,285.15,301.28,283.69,283.82,283.41,285.54,285.43,281.75,286.773,294.62,298.15,299.623,299.623,294.65
2017-10-02 04:00:00,283.74,285.74,290.82,285.54,292.15,292.46,298.46,302.02,290.1,282.89,297.15,296.81,297.94,292.03,289.22,294.57,289.34,290.86,288.19,290.05,285.37,298.02,284.48,301.01,282.5,283.31,281.98,285.09,284.78,281.25,286.773,294.26,297.0,292.61,292.79,294.37
2017-10-02 05:00:00,282.93,285.28,289.65,284.44,291.79,292.53,296.95,300.44,289.61,281.69,296.9,295.94,297.69,291.39,289.57,294.29,289.15,289.84,288.24,290.03,284.54,298.18,283.9,301.15,282.55,282.55,282.41,284.42,282.43,281.55,294.748,294.26,296.68,292.18,292.48,294.37
2017-10-02 06:00:00,282.39,283.0,288.78,283.65,291.65,292.77,296.29,299.8,289.81,281.14,296.16,295.61,297.16,291.45,289.37,293.99,288.42,289.85,287.5,289.82,283.54,297.99,283.14,301.15,280.87,282.06,281.26,283.47,281.75,280.41,294.748,297.59,299.15,295.56,295.62,297.54
2017-10-02 07:00:00,282.31,282.41,287.88,282.85,291.45,292.77,295.95,299.15,287.83,281.15,295.53,294.9,296.85,291.41,287.72,294.47,288.35,289.6,287.21,289.77,282.64,298.18,282.64,300.72,279.66,281.56,280.7,283.35,281.12,280.63,294.748,301.59,299.66,299.15,299.15,301.54
2017-10-02 08:00:00,282.12,281.78,287.96,281.54,291.51,292.73,295.56,298.01,287.17,280.26,294.9,293.88,295.85,291.46,286.08,293.59,288.95,288.12,286.68,289.26,282.05,298.01,282.39,300.43,279.12,281.07,281.07,282.21,280.77,280.46,305.178,303.92,302.92,300.96,301.08,303.71
2017-10-02 09:00:00,282.57,282.14,288.14,280.65,291.44,292.61,295.55,296.18,286.45,279.71,294.27,293.7,295.59,291.61,285.72,293.45,288.86,287.63,286.39,289.04,281.7,298.02,282.56,300.43,278.48,281.08,280.57,281.8,279.1,279.93,305.178,304.92,305.15,304.15,304.15,304.71
2017-10-02 10:00:00,282.37,282.27,288.81,280.34,291.28,292.46,294.55,296.02,285.13,279.38,293.89,293.2,295.75,292.11,285.84,293.16,288.78,286.89,286.13,288.82,281.25,297.67,282.72,300.15,278.02,280.83,280.48,281.77,279.45,279.63,305.178,305.92,307.15,304.93,304.75,305.7
2017-10-02 11:00:00,282.07,282.15,289.07,279.46,290.86,292.22,293.55,294.19,283.04,279.16,293.89,292.81,295.92,292.24,285.93,292.0,289.35,286.88,285.37,288.26,280.58,297.63,282.65,299.74,277.64,280.81,279.06,281.51,278.45,279.23,306.354,305.48,308.68,305.53,305.29,305.32
2017-10-02 12:00:00,281.83,282.4,289.49,279.57,290.64,291.84,292.97,294.35,281.84,278.82,293.59,293.15,296.81,292.45,285.99,291.59,289.56,287.54,284.68,287.97,280.47,297.44,282.39,300.43,278.18,280.89,281.14,283.14,278.45,279.67,306.354,305.04,310.68,305.53,305.29,304.93
